time_s,cell,tx_power_dbm,ret_tilt_deg,ret_bearing_deg,ttt_ms,hysteresis_db,num_ues,avg_rsrp_dbm,ho_in_count,ho_out_count,pingpong_count,avg_throughput_mbps,prb_utilization_pct,energy_state,tx_power_watts,energy_efficiency_mbps_per_w
0.5,gNB_5G,43,15,10,256,3,0,nan,0,0,0,0,0,ON,223.777,0
0.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
0.5,gNB_4G_2,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_5G,43,15,10,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_4G_2,43,15,0,256,3,1,-69,0,0,0,0.114688,0.941667,ON,223.777,0.000512509
2.5,gNB_5G,43,15,10,256,3,0,nan,0,0,0,0,0,ON,223.777,0
2.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
2.5,gNB_4G_2,43,15,0,256,3,1,-68,0,0,0,0.270336,0.825,ON,223.777,0.00120806
3.5,gNB_5G,43,15,10,256,3,1,-64,1,0,0,0.278528,0.891667,ON,223.777,0.00124467
3.5,gNB_4G_1,43,15,0,256,3,1,-44,0,0,0,0.04096,0.725,ON,223.777,0.000183039
3.5,gNB_4G_2,43,15,0,256,3,0,nan,0,1,0,0,0.3,ON,223.777,0
4.5,gNB_5G,43,15,10,256,3,1,-65,1,0,0,0.270336,0.55,ON,223.777,0.00120806
4.5,gNB_4G_1,43,15,0,256,3,3,-45.3333,0,0,0,0.212992,3.39167,ON,223.777,0.00285541
4.5,gNB_4G_2,43,15,0,256,3,1,-68,0,1,0,0.32768,1.91667,ON,223.777,0.00146431
5.5,gNB_5G,43,15,10,256,3,0,nan,1,1,1,0,0.2,ON,223.777,0
5.5,gNB_4G_1,43,15,0,256,3,3,-46,0,0,0,0.4096,4.90833,ON,223.777,0.00549117
5.5,gNB_4G_2,43,15,0,256,3,2,-67,1,1,0,0.475136,3.69167,ON,223.777,0.00424651
6.5,gNB_5G,43,15,10,256,3,1,-64,2,1,1,0.688128,1.425,ON,223.777,0.00307506
6.5,gNB_4G_1,43,15,0,256,3,3,-46.3333,0,0,0,0.412331,5.08333,ON,223.777,0.00552778
6.5,gNB_4G_2,43,15,0,256,3,1,-65,1,2,0,0.278528,1.93333,ON,223.777,0.00124467
7.5,gNB_5G,43,15,10,256,3,1,-65,2,1,1,0.679936,1.38333,ON,223.777,0.00303845
7.5,gNB_4G_1,43,15,0,256,3,4,-49.25,0,0,0,0.34816,5.99167,ON,223.777,0.00622333
7.5,gNB_4G_2,43,15,0,256,3,1,-66,1,2,0,0.270336,1.125,ON,223.777,0.00120806
8.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0.5,ON,223.777,0
8.5,gNB_4G_1,43,15,0,256,3,4,-50.25,0,0,0,0.405504,5.96667,ON,223.777,0.00724835
8.5,gNB_4G_2,43,15,0,256,3,2,-66,2,2,0,0.475136,3.23333,ON,223.777,0.00424651
9.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
9.5,gNB_4G_1,43,15,0,256,3,4,-49.75,0,0,0,0.405504,5.58333,ON,223.777,0.00724835
9.5,gNB_4G_2,43,15,0,256,3,2,-65.5,2,2,0,0.483328,3.65,ON,223.777,0.00431972
10.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
10.5,gNB_4G_1,43,15,0,256,3,4,-50,0,0,0,0.405504,5.025,ON,223.777,0.00724835
10.5,gNB_4G_2,43,15,0,256,3,2,-64,2,2,0,0.475136,3.65833,ON,223.777,0.00424651
11.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
11.5,gNB_4G_1,43,15,0,256,3,4,-49,0,0,0,0.405504,5.025,ON,223.777,0.00724835
11.5,gNB_4G_2,43,15,0,256,3,2,-63,2,2,0,0.475136,3.275,ON,223.777,0.00424651
12.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
12.5,gNB_4G_1,43,15,0,256,3,5,-46.8,0,0,0,0.33751,5.775,ON,223.777,0.00754121
12.5,gNB_4G_2,43,15,0,256,3,2,-60.5,2,2,0,0.483328,3.1,ON,223.777,0.00431972
13.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
13.5,gNB_4G_1,43,15,0,256,3,5,-47.8,0,0,0,0.35881,5.675,ON,223.777,0.00801711
13.5,gNB_4G_2,43,15,0,256,3,2,-58.5,2,2,0,0.475136,3.05,ON,223.777,0.00424651
14.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
14.5,gNB_4G_1,43,15,0,256,3,5,-47.6,0,0,0,0.353894,5.65,ON,223.777,0.00790729
14.5,gNB_4G_2,43,15,0,256,3,2,-58,2,2,0,0.475136,2.9,ON,223.777,0.00424651
15.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
15.5,gNB_4G_1,43,15,0,256,3,6,-48,0,0,0,0.32768,6.8,ON,223.777,0.00878588
15.5,gNB_4G_2,43,15,0,256,3,2,-55.5,2,2,0,0.483328,2.95,ON,223.777,0.00431972
16.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
16.5,gNB_4G_1,43,15,0,256,3,6,-48,0,0,0,0.364544,6.925,ON,223.777,0.00977429
16.5,gNB_4G_2,43,15,0,256,3,2,-56.5,2,2,0,0.475136,2.9,ON,223.777,0.00424651
17.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
17.5,gNB_4G_1,43,15,0,256,3,6,-46.6667,0,0,0,0.364544,6.75,ON,223.777,0.00977429
